material,d,t_fall_1_1,t_fall_1_2,t_fall_2_1,t_fall_2_2,T,rho_fluid
стекло,2.1,15.68,15.74,31.78,32.22,21.3,1.26
стекло,2.1,15.24,14.99,30.5,30.53,21.3,1.26
стекло,2.1,15.84,15.84,31.47,31.63,21.3,1.26
стекло,2.1,8.24,8.15,16.41,16.56,30.2,1.256
стекло,2.1,5.83,5.86,12.06,12.03,40.1,1.2515
стекло,2.1,3.11,3.15,6.5,6.53,50,1.2498
стекло,2.1,2.05,2.14,4.25,4.34,60,1.2446
сталь,0.7,25.77,25.74,51.88,52.07,21.3,1.26
сталь,0.6,33.68,33.52,77.78,77.82,21.3,1.26
сталь,0.8,25.67,25.73,51.97,52.12,21.3,1.26
сталь,0.85,9.4,9.65,18.88,18.85,30.2,1.256
сталь,0.7,9.56,9.55,19.35,19.35,40.1,1.2515
сталь,0.85,3.08,3.08,6.43,6.37,50,1.2498
сталь,0.9,1.95,1.9,4.09,4.16,60,1.2446
