lambda,neon,drum,Yellow 22,Green 23,Pink 8,lambda,mercury,drum,hydrogen,drum,iodium,drum
6717,3,2530,2176,1916,2416,690.7,k1,2586,Violet 2,424,1,2314
6507,7,2454,2176,1916,2416,623.4,k2,2350,Violet 1,832,6,2212
6402,8,2416,2176,1916,2416,579.1,1,2146,Blue,1480,,
6217,13,2342,2176,1916,2414,577,2,2134,Green 2,1868,,
6143,15,2310,2176,1916,2416,546.1,3,1954,Green 1,1942,,
6096,16,2292,2176,1916,2416,491.6,4,1532,Red 2,2316,,
6074,17,2280,,,,435.8,5,868,Red 1,2472,,
6030,18,2252,,,,404.7,6,314,,,,
5976,19,2240,,,,,,,,,,
5945,20,2224,,,,,,,,,,
5882,21,2192,,,,,,,,,,
5852,22,2176,,,,,,,,,,
5403,23,1926,,,,,,,,,,
5341,24,1896,,,,,,,,,,
